marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	15785389	R2UM5QMHBHC90Q	B00H5U9ZD6	115362950	WallPeg 12 sq ft Black Workbench Pegboard Organizer with Locking Peg Hooks AM 24243B	Tools	5	0	0	N	Y	Great organizer, good quality.	Very nice. Will organize my tools nicely. Pegs lock in well.	2015-08-31
US	47910848	RF0D1LEIF6L7	B001TJGCS0	570955425	Nite Ize Nite Dawg Light Up Dog Collar	Tools	4	0	0	N	Y	Like it, but the battery unit has a tendency ...	Like it, but the battery unit has a tendency to slip out the side.  Otherwise, it functions just like it should and I'm glad my dog is so visible.	2015-08-31
US	36328996	RM6YKIWQVNSY	B000NIK8JW	128843593	Stanley 84-058 4 Piece Bi-Metal Pliers SetQty Discounts	Tools	1	6	6	N	Y	poor quality	We were excited to order these due to the Stanley name. We sent them back after seeing them, the quality was very poor, example, the needle nose pliers do not even touch each other to get a good grip. The wire cutters were the same and could not cut the wire due to a sizable gap between the snippers :( disappointed	2015-08-31
US	51785809	R1RL3L68ASPS36	B008ZYRGUA	407828107	Powerextra 14.4V Replacement Battery For Ryobi 1400655, 1400656, 1400671, 4400011, 130224010	Tools	4	0	0	N	Y	Four Stars	Quick delivery. Product is as advertised.	2015-08-31
US	40757491	R1U4XFBFAG34CY	B00K5CA0GC	490746675	Waterproof Invisible Fence® Repair Splice Kit	Tools	5	0	0	N	Y	Five Stars	Quality waterproofing and no issues at all.	2015-08-31
US	35544833	R3KFIK8P0I91PL	B00AIJAA94	148352067	Crime Scene Do Not Cross Tape	Tools	5	0	0	N	Y	Excellent Decoration for Police Retirement Party!!!	Ordered for my husband's police retirement party.  Decorated the room and his chair with it.  Great conversation piece and set the tone of the room nicely.	2015-08-31
US	16474909	RENOAY76PPK1O	B00JKEI6K8	331801084	Aweek® 2 Pcs Bicycle Bike Flashlight LED Torch Mount Holder 360 degree Rotation Cycling Clip Clamp	Tools	5	0	0	N	Y	Five Stars	GREAT SELLER PRODUCT WORKED GREAT	2015-08-31
US	22601598	RINV884I0NL5V	B00AGCHVS6	471514859	Ryobi P102 Genuine OEM 18V One+ Lithium Ion Compact Battery for Ryobi Cordless Power Tools	Tools	1	0	0	N	Y	Worked great for 3 months	My battery has died in less than 3 months. Worked great for 3 months... but it's completely dead now.	2015-08-31
US	16129808	R5KJH6CXZH2PX	B002S0O7U4	162253576	Wiha 66995 6-Piece Metric Ball End Long Hex L-Key Set	Tools	5	0	0	N	Y	Great quality	Great product at a great price. Have bought at least 6 sets for myself and others at work. For the systems we maintain it is a great fit as you aren't carrying the larger less frequently used wrenches, just the most needed ones.	2015-08-31
US	24382335	RO69JF6QWD0W1	B0084YHXMW	69530650	TOMTOP LED Submarine Light Diving Flashlight Underwater Torch Waterproof CREE Q5 Lamp	Tools	5	0	0	N	Y	Five Stars	Excellent	2015-08-31
US	49796324	R3L9NQBH3FI55C	B00MLSS1SW	916693555	Black & Decker BDERO100 Random Orbit Sander, 5-Inch	Tools	4	1	1	N	Y	Really worked great!	This little sander really worked great.  I was a little concerned because when I turn it on you can see sparks through the air vent holes in the handle.  I was thinking it might be defective, but it kept working fine sanding the parameter of an entire bedroom hardwood floor.  The electric motor brushes must need to break in?  Gave it 4 stars because of the sparks.  With the sparks I will keep it away for anything potentially combustible (IE boat bilge or oil based paints) without a lot of ventilation.  I hooked it up to my shop vac so dust was minimized.	2015-08-31
US	33289687	R4YH95YPHVU0C	B00D4WLS2A	39333316	Crain 126 Staple Remover	Tools	5	0	0	N	Y	LOVE IT!!!!	This is the most fabulous tool ever!!!!  It has sped up my time on tearing down a 1950's dinette chair to recover, from two hours to about 45 minutes!  What a time saver, and it is ergonomically designed so it does not hurt your hands when you use it!  I highly recommend this tool to anyone who has to pull a lot of staples out of either a floor, or furniture, or other projects.	2015-08-31
